,AAPL,PETR4.SA,IVVB11.SA,VALE3.SA,BTC-USD,ABEV3.SA
ever,"{'inicio': 1000000000, 'minimo': 341084898.9855889, 'maximo': 2336323159318.552, 'final': 1911849443435.088, 'variacao': 1910849443435.088, 'variacao%': 191084.94434350877}","{'inicio': 1000000000, 'minimo': 847375735.0759556, 'maximo': 24738145853.990307, 'final': 20689253751.715576, 'variacao': 19689253751.715576, 'variacao%': 1968.9253751715576}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 9912093233.716843, 'final': 8951057088.294724, 'variacao': 7951057088.2947235, 'variacao%': 795.1057088294723}","{'inicio': 1000000000, 'minimo': 708333355.9279789, 'maximo': 46535930924.06673, 'final': 31468812371.780346, 'variacao': 30468812371.780346, 'variacao%': 3046.8812371780346}","{'inicio': 1000000000, 'minimo': 474850195.7619934, 'maximo': 283002396827.6808, 'final': 276562591035.8839, 'variacao': 275562591035.8839, 'variacao%': 27556.25910358839}","{'inicio': 1000000000, 'minimo': 893030619.9066665, 'maximo': 66240879130.80491, 'final': 49783229182.876495, 'variacao': 48783229182.876495, 'variacao%': 4878.322918287649}"
never,"{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 1000000000, 'final': 1000000000.0, 'variacao': 0.0, 'variacao%': 0.0}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 1000000000, 'final': 1000000000.0, 'variacao': 0.0, 'variacao%': 0.0}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 1000000000, 'final': 1000000000.0, 'variacao': 0.0, 'variacao%': 0.0}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 1000000000, 'final': 1000000000.0, 'variacao': 0.0, 'variacao%': 0.0}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 1000000000, 'final': 1000000000.0, 'variacao': 0.0, 'variacao%': 0.0}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 1000000000, 'final': 1000000000.0, 'variacao': 0.0, 'variacao%': 0.0}"
raised[i],"{'inicio': 1000000000, 'minimo': 911690711.7990782, 'maximo': 1084695299392.407, 'final': 924515813687.1206, 'variacao': 923515813687.1206, 'variacao%': 92351.58136871207}","{'inicio': 1000000000, 'minimo': 972427653.3924605, 'maximo': 22592358086.83957, 'final': 20643326538.500206, 'variacao': 19643326538.500206, 'variacao%': 1964.3326538500205}","{'inicio': 1000000000, 'minimo': 756638554.876564, 'maximo': 1536110910.6313858, 'final': 1330642220.567299, 'variacao': 330642220.5672989, 'variacao%': 33.064222056729896}","{'inicio': 1000000000, 'minimo': 918027942.9594117, 'maximo': 22556611536.90046, 'final': 19335005543.37577, 'variacao': 18335005543.37577, 'variacao%': 1833.5005543375771}","{'inicio': 1000000000, 'minimo': 880739775.1994019, 'maximo': 31691251628.5708, 'final': 26470666622.078613, 'variacao': 25470666622.078613, 'variacao%': 2547.0666622078616}","{'inicio': 1000000000, 'minimo': 986666922.1514597, 'maximo': 18318082068.3677, 'final': 5945392893.214059, 'variacao': 4945392893.214059, 'variacao%': 494.53928932140593}"
not raised[i],"{'inicio': 1000000000, 'minimo': 10236729.159682624, 'maximo': 2162926500.503687, 'final': 2067946665.8039036, 'variacao': 1067946665.8039036, 'variacao%': 106.79466658039036}","{'inicio': 1000000000, 'minimo': 287395336.81379974, 'maximo': 1436985587.4746342, 'final': 1002224804.4314945, 'variacao': 2224804.4314944744, 'variacao%': 0.22248044314945314}","{'inicio': 1000000000, 'minimo': 999178264.925251, 'maximo': 7009744503.467773, 'final': 6726869754.005859, 'variacao': 5726869754.005859, 'variacao%': 572.6869754005859}","{'inicio': 1000000000, 'minimo': 451200968.8210926, 'maximo': 4014325043.82653, 'final': 1627556420.8366427, 'variacao': 627556420.8366427, 'variacao%': 62.75564208366426}","{'inicio': 1000000000, 'minimo': 534660752.0079346, 'maximo': 10809049045.897598, 'final': 10447854784.063614, 'variacao': 9447854784.063614, 'variacao%': 944.7854784063613}","{'inicio': 1000000000, 'minimo': 777241880.0651165, 'maximo': 8373412814.593857, 'final': 8373412814.593857, 'variacao': 7373412814.593857, 'variacao%': 737.3412814593858}"
raised[i] or raised[i-1],"{'inicio': 1000000000, 'minimo': 889843070.7790639, 'maximo': 66309460356.47096, 'final': 51628318589.9881, 'variacao': 50628318589.9881, 'variacao%': 5062.831858998809}","{'inicio': 1000000000, 'minimo': 710589700.3307904, 'maximo': 9306477187.28002, 'final': 8496124060.830013, 'variacao': 7496124060.830013, 'variacao%': 749.6124060830014}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 5002766873.616268, 'final': 4100272852.2146263, 'variacao': 3100272852.2146263, 'variacao%': 310.02728522146265}","{'inicio': 1000000000, 'minimo': 465534304.47111225, 'maximo': 4952673338.690126, 'final': 1198058738.5785084, 'variacao': 198058738.57850838, 'variacao%': 19.80587385785084}","{'inicio': 1000000000, 'minimo': 464279500.42518616, 'maximo': 89994363205.73093, 'final': 81239462655.50436, 'variacao': 80239462655.50436, 'variacao%': 8023.946265550437}","{'inicio': 1000000000, 'minimo': 871411889.5474877, 'maximo': 10391582319.601746, 'final': 4260008582.082136, 'variacao': 3260008582.082136, 'variacao%': 326.00085820821363}"
not (raised[i] or raised[i-1]),"{'inicio': 1000000000, 'minimo': 197822162.68143633, 'maximo': 38377714789.50441, 'final': 37031022666.06938, 'variacao': 36031022666.06938, 'variacao%': 3603.1022666069384}","{'inicio': 1000000000, 'minimo': 944844813.4316674, 'maximo': 3047554005.835335, 'final': 2435140255.1779547, 'variacao': 1435140255.1779547, 'variacao%': 143.5140255177955}","{'inicio': 1000000000, 'minimo': 985697673.113472, 'maximo': 2266034841.197315, 'final': 2183039334.043293, 'variacao': 1183039334.043293, 'variacao%': 118.3039334043293}","{'inicio': 1000000000, 'minimo': 768376386.4723933, 'maximo': 39202382617.049835, 'final': 26266502316.38363, 'variacao': 25266502316.38363, 'variacao%': 2526.650231638363}","{'inicio': 1000000000, 'minimo': 834236674.2896729, 'maximo': 4660199386.370743, 'final': 3404254069.401993, 'variacao': 2404254069.401993, 'variacao%': 240.42540694019928}","{'inicio': 1000000000, 'minimo': 893030619.9066665, 'maximo': 12527535333.319847, 'final': 11686180467.965092, 'variacao': 10686180467.965092, 'variacao%': 1068.6180467965091}"
raised[i] and raised[i-1],"{'inicio': 1000000000, 'minimo': 868916930.8260441, 'maximo': 35930296032.66202, 'final': 30068378271.038895, 'variacao': 29068378271.038895, 'variacao%': 2906.8378271038896}","{'inicio': 1000000000, 'minimo': 924244265.6124724, 'maximo': 7072675318.766085, 'final': 7024247147.236574, 'variacao': 6024247147.236574, 'variacao%': 602.4247147236574}","{'inicio': 1000000000, 'minimo': 845699802.439537, 'maximo': 1348892320.1892014, 'final': 1302227362.0759506, 'variacao': 302227362.0759506, 'variacao%': 30.22273620759506}","{'inicio': 1000000000, 'minimo': 784835491.1441417, 'maximo': 5826951173.346477, 'final': 4685225193.490724, 'variacao': 3685225193.4907236, 'variacao%': 368.5225193490724}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 63826655814.89781, 'final': 49589148680.19469, 'variacao': 48589148680.19469, 'variacao%': 4858.914868019469}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 4695250121.695855, 'final': 4057442567.573821, 'variacao': 3057442567.573821, 'variacao%': 305.74425675738206}"
not (raised[i] and raised[i-1]),"{'inicio': 1000000000, 'minimo': 183453922.99146712, 'maximo': 78190485433.02022, 'final': 63583390540.21597, 'variacao': 62583390540.21597, 'variacao%': 6258.339054021597}","{'inicio': 1000000000, 'minimo': 309312911.6958723, 'maximo': 3863319356.656826, 'final': 2945405141.5656757, 'variacao': 1945405141.5656757, 'variacao%': 194.54051415656755}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 8104200006.896183, 'final': 6873650907.808231, 'variacao': 5873650907.808231, 'variacao%': 587.3650907808232}","{'inicio': 1000000000, 'minimo': 680555590.5602863, 'maximo': 10332955588.58923, 'final': 6716606107.562511, 'variacao': 5716606107.562511, 'variacao%': 571.6606107562511}","{'inicio': 1000000000, 'minimo': 381498332.3796692, 'maximo': 8393054167.358795, 'final': 5577035083.76358, 'variacao': 4577035083.76358, 'variacao%': 457.70350837635806}","{'inicio': 1000000000, 'minimo': 893030619.9066665, 'maximo': 15269485585.913279, 'final': 12269607832.915768, 'variacao': 11269607832.915768, 'variacao%': 1126.9607832915767}"
raised[i] and not raised[i-1],"{'inicio': 1000000000, 'minimo': 975198556.3105391, 'maximo': 44098730437.17377, 'final': 30747112617.048523, 'variacao': 29747112617.048523, 'variacao%': 2974.7112617048524}","{'inicio': 1000000000, 'minimo': 863485525.3611953, 'maximo': 3556599676.818871, 'final': 2938866761.4425917, 'variacao': 1938866761.4425917, 'variacao%': 193.88667614425916}","{'inicio': 1000000000, 'minimo': 725918599.1777306, 'maximo': 1244634467.4324455, 'final': 1021820103.0680046, 'variacao': 21820103.06800461, 'variacao%': 2.1820103068004526}","{'inicio': 1000000000, 'minimo': 982745493.5797391, 'maximo': 4813715320.939447, 'final': 4126803856.6541576, 'variacao': 3126803856.6541576, 'variacao%': 312.6803856654158}","{'inicio': 1000000000, 'minimo': 429568271.8440552, 'maximo': 3685036299.859436, 'final': 533797550.5901489, 'variacao': -466202449.4098511, 'variacao%': -46.62024494098511}","{'inicio': 1000000000, 'minimo': 986666922.1514597, 'maximo': 4742058179.591232, 'final': 1465305496.198985, 'variacao': 465305496.1989851, 'variacao%': 46.53054961989851}"
not (raised[i] and not raised[i-1]),"{'inicio': 1000000000, 'minimo': 39092789.81519609, 'maximo': 66222232703.19541, 'final': 62179804102.20576, 'variacao': 61179804102.20576, 'variacao%': 6117.980410220575}","{'inicio': 1000000000, 'minimo': 674643387.8097186, 'maximo': 7812808440.824731, 'final': 7039874692.997241, 'variacao': 6039874692.997241, 'variacao%': 603.9874692997241}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 8759914349.054096, 'final': 8759914349.054096, 'variacao': 7759914349.054096, 'variacao%': 775.9914349054096}","{'inicio': 1000000000, 'minimo': 688331232.1482714, 'maximo': 17886378522.099575, 'final': 7625468340.359623, 'variacao': 6625468340.359623, 'variacao%': 662.5468340359623}","{'inicio': 1000000000, 'minimo': 665491263.925354, 'maximo': 597321563199.0216, 'final': 518101671652.8888, 'variacao': 517101671652.8888, 'variacao%': 51710.167165288876}","{'inicio': 1000000000, 'minimo': 893030619.9066665, 'maximo': 34479067525.6411, 'final': 33974641709.462402, 'variacao': 32974641709.462402, 'variacao%': 3297.4641709462403}"
