Date,Open,High,Low,Close,Volume,Day,Month,Year,% Change,Raised,Next Raised,MM_7,MM_15,Delta_7,Delta_15,Delta_MM,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,LagR_1,LagR_2,LagR_3,LagR_4,LagR_5
2024-06-06,194.77908126144504,195.58530834672572,193.2661524862918,193.57470703125,41181800,6,6,2024,-0.7096543785708787,0,1,192.32342311314173,190.6689676920573,1.251283918108271,2.9057393391927064,1.6544554210844353,194.95823669433594,193.44532775878906,193.12681579589844,191.3551025390625,190.39956665039062,1.0,1.0,1.0,1.0,1.0
2024-06-07,193.7439169991778,196.02326577578603,193.23629646745044,195.97349548339844,53103900,7,6,2024,1.2392055186017492,1,0,193.26189313616072,191.13677978515625,2.711602347237715,4.8367156982421875,2.1251133510044724,193.57470703125,194.95823669433594,193.44532775878906,193.12681579589844,191.3551025390625,0.0,1.0,1.0,1.0,1.0
2024-06-10,195.98344204153506,196.3815891899795,191.25555286655262,192.22103881835938,97262100,10,6,2024,-1.9147776365283753,0,1,193.52210344587053,191.3524383544922,-1.3010646275111526,0.8686004638671818,2.1696650913783344,195.97349548339844,193.57470703125,194.95823669433594,193.44532775878906,193.12681579589844,1.0,0.0,1.0,1.0,1.0
2024-06-11,192.74857122232135,206.19569315156764,192.72867525564521,206.18572998046875,172373300,11,6,2024,7.264912960597103,1,1,195.64076450892858,192.42143859863282,10.544965471540166,13.764291381835932,3.2193259102957654,192.22103881835938,195.97349548339844,193.57470703125,194.95823669433594,193.44532775878906,0.0,1.0,0.0,1.0,1.0
2024-06-12,206.40470686074582,219.17498621319098,205.9368934525013,212.07818603515625,198134300,12,6,2024,2.8578389276724847,1,1,198.34810311453683,193.7963419596354,13.730082920619424,18.281844075520837,4.551761154901413,206.18572998046875,192.22103881835938,195.97349548339844,193.57470703125,194.95823669433594,1.0,0.0,1.0,0.0,1.0
2024-06-13,213.74042465409653,215.74106295368526,210.61504146610727,213.2427520751953,97862700,13,6,2024,0.5491210868080465,1,0,201.17630658830916,195.34510091145833,12.066445486886153,17.89765116373698,5.8312056768508285,212.07818603515625,206.18572998046875,192.22103881835938,195.97349548339844,193.57470703125,1.0,1.0,0.0,1.0,0.0
2024-06-14,212.85455494843214,214.16840257809503,210.31642191496232,211.50088500976562,70122700,14,6,2024,-0.8168470198768873,0,1,203.53954206194197,197.04448750813802,7.961342947823653,14.456397501627606,6.4950545538039535,213.2427520751953,212.07818603515625,206.18572998046875,192.22103881835938,195.97349548339844,1.0,1.0,1.0,0.0,1.0
2024-06-17,212.37678083551464,217.9308083607288,211.72981259041407,215.6614227294922,93728300,17,6,2024,1.9671490828676585,1,0,206.69478716169084,198.81553853352864,8.966635567801347,16.84588419596355,7.879248628162202,211.50088500976562,213.2427520751953,212.07818603515625,206.18572998046875,192.22103881835938,0.0,1.0,1.0,1.0,0.0
2024-06-18,216.5771221156608,217.61228945527094,212.008492058615,213.29248046875,79943300,18,6,2024,-1.0984543414208958,0,0,209.16892787388392,200.42799682617186,4.123552594866084,12.864483642578136,8.740931047712053,215.6614227294922,211.50088500976562,213.2427520751953,212.07818603515625,206.18572998046875,1.0,0.0,1.0,1.0,1.0
2024-06-20,212.93418113045576,213.24275088537271,207.87784112226225,208.70396423339844,86172500,20,6,2024,-2.151278950513136,0,0,211.5236315046038,201.7146474202474,-2.819667271205361,6.989316813151049,9.80898408435641,213.29248046875,215.6614227294922,211.50088500976562,213.2427520751953,212.07818603515625,0.0,1.0,0.0,1.0,1.0
