Date,Open,High,Low,Close,Volume,Day,Month,Year,% Change,Raised,Next Raised,MM_7,MM_15,Delta_7,Delta_15,Delta_MM,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,LagR_1,LagR_2,LagR_3,LagR_4,LagR_5
2024-05-30,67576.0859375,69500.5390625,67118.078125,68364.9921875,29509712534,30,5,2024,1.1644282841286824,1,0,68563.42857142857,68272.21692708334,-198.4363839285652,92.77526041665988,291.21164434522507,67578.09375,68296.21875,69394.5546875,68518.09375,69265.9453125,0.0,0.0,1.0,0.0,1.0
2024-05-31,68362.515625,68999.5625,66633.421875,67491.4140625,27387283769,31,5,2024,-1.2778150001159894,0,1,68415.61607142857,68422.87239583333,-924.2020089285652,-931.4583333333285,-7.256324404763291,68364.9921875,67578.09375,68296.21875,69394.5546875,68518.09375,1.0,0.0,0.0,1.0,0.0
2024-06-01,67489.609375,67839.765625,67386.1953125,67706.9375,11641495604,1,6,2024,0.31933460054698326,1,1,68192.90066964286,68466.54322916667,-485.96316964285506,-759.6057291666657,-273.64255952381063,67491.4140625,68364.9921875,67578.09375,68296.21875,69394.5546875,0.0,1.0,0.0,0.0,1.0
2024-06-02,67710.2734375,68409.1640625,67315.5234375,67751.6015625,17110588415,2,6,2024,0.06596674454519835,1,1,68083.40178571429,68520.59635416667,-331.8002232142899,-768.9947916666715,-437.19456845238165,67706.9375,67491.4140625,68364.9921875,67578.09375,68296.21875,1.0,0.0,1.0,0.0,0.0
2024-06-03,67753.8984375,70230.8203125,67589.8359375,68804.78125,32401285324,3,6,2024,1.5544720172089965,1,1,67999.1484375,68689.02395833333,805.6328125,115.7572916666686,-689.8755208333314,67751.6015625,67706.9375,67491.4140625,68364.9921875,67578.09375,1.0,1.0,0.0,1.0,0.0
2024-06-04,68804.5703125,71047.40625,68564.640625,70567.765625,33149696545,4,6,2024,2.5622992224831664,1,1,68323.65513392857,68630.32864583333,2244.110491071435,1937.4369791666686,-306.6735119047662,68804.78125,67751.6015625,67706.9375,67491.4140625,68364.9921875,1.0,1.0,1.0,0.0,1.0
2024-06-05,70568.3515625,71735.4140625,70390.7109375,71082.8203125,32810771409,5,6,2024,0.7298724608017615,1,0,68824.33035714286,68693.41458333333,2258.489955357145,2389.4057291666686,130.91577380952367,70567.765625,68804.78125,67751.6015625,67706.9375,67491.4140625,1.0,1.0,1.0,1.0,0.0
2024-06-06,71082.84375,71625.734375,70119.125,70757.1640625,25223152007,6,6,2024,-0.4581363662391591,0,0,69166.06919642857,68802.403125,1591.0948660714348,1954.760937500003,363.6660714285681,71082.8203125,70567.765625,68804.78125,67751.6015625,67706.9375,1.0,1.0,1.0,1.0,1.0
2024-06-07,70759.1875,71907.8515625,68507.2578125,69342.5859375,36188381096,7,6,2024,-1.999201273457618,0,0,69430.52232142857,68896.6046875,-87.93638392856519,445.9812499999971,533.9176339285623,70757.1640625,71082.8203125,70567.765625,68804.78125,67751.6015625,0.0,1.0,1.0,1.0,1.0
2024-06-08,69324.1796875,69533.3203125,69210.7421875,69305.7734375,14262185861,8,6,2024,-0.05308786729295578,0,1,69658.92745535714,68948.5828125,-353.15401785714494,357.1906250000029,710.3446428571478,69342.5859375,70757.1640625,71082.8203125,70567.765625,68804.78125,0.0,0.0,1.0,1.0,1.0
2024-06-09,69297.4921875,69817.5234375,69160.84375,69647.9921875,13534028500,9,6,2024,0.49378101278765296,1,0,69929.84040178571,68974.05260416666,-281.8482142857101,673.9395833333401,955.7877976190503,69305.7734375,69342.5859375,70757.1640625,71082.8203125,70567.765625,0.0,0.0,0.0,1.0,1.0
2024-06-10,69644.3125,70146.0703125,69232.421875,69512.28125,20597699541,10,6,2024,-0.194852619921404,0,0,70030.91183035714,69040.33177083333,-518.6305803571449,471.9494791666657,990.5800595238106,69647.9921875,69305.7734375,69342.5859375,70757.1640625,71082.8203125,1.0,0.0,0.0,0.0,1.0
2024-06-11,69508.078125,69549.4140625,66123.6015625,67332.03125,37116136345,11,6,2024,-3.136496113771259,0,1,69568.6640625,68902.83020833334,-2236.6328125,-1570.7989583333401,665.8338541666599,69512.28125,69647.9921875,69305.7734375,69342.5859375,70757.1640625,0.0,1.0,0.0,0.0,0.0
2024-06-12,67321.375,69977.890625,66902.453125,68241.1875,34497940694,12,6,2024,1.3502581655740586,1,0,69162.71651785714,68899.16145833333,-921.5290178571449,-657.9739583333285,263.55505952381645,67332.03125,69512.28125,69647.9921875,69305.7734375,69342.5859375,0.0,0.0,1.0,0.0,0.0
2024-06-13,68243.1015625,68365.78125,66304.5625,66756.3984375,28955204146,13,6,2024,-2.1757960505889518,0,0,68591.17857142857,68844.38177083334,-1834.7801339285652,-2087.983333333337,-253.20319940477202,68241.1875,67332.03125,69512.28125,69647.9921875,69305.7734375,1.0,0.0,0.0,1.0,0.0
2024-06-14,66747.5703125,67294.6484375,65056.89453125,66011.09375,27403884779,14,6,2024,-1.1164543099157487,0,1,68115.25111607143,68687.45520833334,-2104.157366071435,-2676.36145833334,-572.2040922619053,66756.3984375,68241.1875,67332.03125,69512.28125,69647.9921875,0.0,1.0,0.0,0.0,1.0
2024-06-15,66006.7421875,66402.1875,65871.7734375,66191.0,14121265576,15,6,2024,0.27253941690672523,1,1,67670.28348214286,68600.7609375,-1479.283482142855,-2409.760937500003,-930.4774553571478,66011.09375,66756.3984375,68241.1875,67332.03125,69512.28125,0.0,0.0,1.0,0.0,0.0
2024-06-16,66189.359375,66894.84375,66018.25,66639.046875,13281140541,16,6,2024,0.6768999939568809,1,0,67240.43415178571,68529.56822916666,-601.3872767857101,-1890.5213541666599,-1289.1340773809497,66191.0,66011.09375,66756.3984375,68241.1875,67332.03125,1.0,0.0,0.0,1.0,0.0
